Why can a single sensor reading not be the unit of prediction in wearable stress detection?	Stress is a pattern over time. A heart rate of 92 at one instant could be a stressed nurse sitting still or a calm nurse climbing stairs.	ml::timeseries
Why is accuracy a poor primary metric on the nurse stress dataset?	About 80% of windows are labelled stress, so a model that always predicts "stressed" scores 0.80 while being worthless.	ml::evaluation ml::imbalance
Why is a random train/test split wrong when sliding windows overlap?	Adjacent windows share up to half their raw rows, so a test window is nearly a duplicate of a training window. The reported score becomes fictitious.	ml::evaluation ml::timeseries
What is the rule of thumb for choosing a cross-validation split?	Split along the axis you want to generalize across. If deployment means a new patient, hold out patients. If it means a new day, hold out days.	ml::evaluation
Why does per-subject normalization matter more here than the usual "put features on a common scale" motivation?	One person's resting heart rate can equal another's high-stress heart rate. Global scaling makes identical feature values carry opposite labels.	ml::core
Why did the global models fail in the nurse stress paper?	Inter-individual physiological differences. Once data is pooled across nurses, the same feature values correspond to different labels depending on whose wrist they came from.	ml::evaluation
What is wrong with tuning a decision threshold on the test set?	It is implicit validation leakage. The test set has influenced a modelling decision, so it is no longer held out and the reported score is optimistic.	ml::evaluation
What three-way split fixes decision-threshold leakage?	Train days to fit the model, a calibration split to choose the threshold, and a test split that is touched exactly once to report the score.	ml::evaluation
Why must rates of change be supplied to a tree model as explicit columns?	Trees split on thresholds of the features you give them. They cannot compute a derivative, so if you want the model to reason about change, change must be a feature.	ml::models
Why include accelerometer data in a physiological stress model?	Confounder control. Physical exertion raises heart rate and sweating exactly like stress does, so the model needs a channel that separates the two.	ml::core
What are the two things you can do with a window, and which models does each enable?	Summarize it into a fixed-length vector, which enables trees, XGBoost and MLPs. Or keep the full sequence, which enables CNNs and LSTMs.	ml::timeseries
What is lost when a window is summarized into 24 summary statistics?	The shape of the signal. A window that rises smoothly and one that spikes then recovers can have identical means, standard deviations and endpoints.	ml::timeseries
What does GlobalAveragePooling1D do, and what is the point of it?	It averages each filter's response across all timesteps. This deliberately discards where a pattern occurred and keeps only whether it occurred.	ml::models
What different inductive biases do a 1D CNN and an LSTM encode?	The CNN asks whether a characteristic local shape appears anywhere in the window. The LSTM asks what the state of the signal is after reading the whole sequence in order.	ml::models
Why does binarizing three stress levels into two improve the metric while narrowing usefulness?	Level 1 is too rare for a model to learn, so collapsing it helps measured performance. The model can then no longer separate mild strain from acute crisis, which is the distinction a deployed system would most want.	ml::core
Name four techniques for handling class imbalance during training.	Class weights in the loss function, weighted sampling so batches are balanced, undersampling the majority class, and focal loss.	ml::imbalance
Why is SMOTE questionable on time-series windows?	It generates synthetic examples by interpolating between real neighbors, and interpolating between two physiological states can produce a window that is not physiologically possible.	ml::imbalance
What is the difference between prediction and causal inference?	Prediction asks what will happen given what I observe. Causal inference asks what would happen if I intervened. A feature can improve prediction while pointing the wrong way causally.	ml::problemtypes
What makes time-to-event analysis distinct from classification?	The question is when an event happens rather than whether it happens, and censoring means some subjects' events are never observed at all.	ml::problemtypes
When is anomaly detection preferable to classification for wearable data?	When labels are scarce or unreliable. You model each person's normal and flag departures from it, which requires no self-reported labels.	ml::problemtypes
What is multilabel classification, and where is it commonly misfiled?	Predicting any number of answers at once. ICD code assignment is multilabel because a patient can carry many diagnoses, yet it is often built as multiclass.	ml::problemtypes
Why is PR-AUC preferred over ROC-AUC under heavy class imbalance?	ROC-AUC can look flatteringly high when the negative class is rare, because the false positive rate has a large denominator that hides errors.	ml::evaluation ml::imbalance
What does "idealized" mean in the idealized per-nurse random forest?	Folds that fail quality checks are discarded, so the 0.859 is an upper bound on achievable performance under favorable data conditions, not an estimate of deployed performance.	ml::evaluation
How is transfer learning applied in the 1D CNN pipeline?	Train the network on other subjects, freeze the convolutional layers, then re-fit only the dense head on a slice of the held-out subject's own data.	ml::models
Why must the fine-tuning slice be chronological rather than random?	A random slice would let the model see the future of the very recording it is about to be evaluated on.	ml::evaluation
What is the fourth main learning paradigm alongside supervised, unsupervised and reinforcement learning?	Self-supervised learning, where labels are invented from the data itself and the learned representation is then reused for a real task with few labels.	ml::problemtypes
